sku,rating,good points,bad points
DABBF10002,8,Mooie jas met goeie sportieve pasvorm.,Zeker niet warm genoeg voor de winter. Goed voor vroege lente en herfst.
DABBF10002,5,Materiaal/hardshell/winddicht,Wordt verkocht als winterjack. Dat is het zeker niet. Niet isolerend genoeg en doordat het klein valt kan je moeilijk extra laag eronder dragen. Het is meer een voorjaar/najaar jack. Afwerking mouwen matig.
DABBF10002,10,snel bezorg,moet wel passen in de winkel voor de maat
DABBF10002,7,Kwaliteit,"Iets te krap, dus geschikt voor de zomer"
DABBF10002,8,Artikel 'op voorraad' gekocht. Ervaringen volgen als het fiets-seizoen weer open is ;-),nvt
DABBF10002,8,zeer soepel dragende jas,voor winters weer te licht
DABBF10002,9,"Prima jack bij lage temperaturen, wind en zachte regen",Liever iets meer zakken
DABBF10002,10,Zit prima,Geen
DABBF10002,9,Met koud weer toch comfortabel 3 lagen bij 4grC Goede ventilatie geen zweten Mooie ruime zak met rits op de rug,XL kan bij winterweer en 4 lagen te krap zijn
DABBF10002,9,"Goed winddicht fietsjack, perfect bij lagere temperaturen. Ik heb het gebruikt bij een temperatuur van rond de 10 graden met alleen een thermoshirt er onder.",Het Jack is iets minder ademend.
DABBF10002,8,Perfecte pasform,Voorzakken ontbreken. De stof voelt ietswat kunstmatig aan.
DABBF10002,9,"De voering is vrij dun, waardoor ik bang was dat die te koud was. Echter is dit heel erg mee gevallen. Ritten tussen de 5-10 graden gaan prima, ondanks dat ik erg slecht tegen de kou kan. Juist doordat die volledig winddicht is en de mouwen lang zijn en goed aansluiten op handschoenen houdt het de kou goed buiten.","De voorkant van het jack is erg kort. Ik ben 1.87m en de L komt precies bij de middel uit. Had iets langer gemogen. Voor fietsen is de korte voorkant prima, omdat die door de houding goed aansluit, echter kan het jack dus ook alleen voor fietsen worden gebruikt. Met een pullover aan komt de pullover onder het jack uit als ik recht op sta."
DABBF10002,10,"Winddicht , lichtgewicht",Een extra zakje op zij is welkom
DABBF10002,10,Hij valt goed. Is winddicht en kan tegen een beetje regen.,"Geen idee. Weinig zakken, maar het is een fietsjas die ik misbruik voor woonwerkverkeer."
